checked_on,source_url,http_status,final_url
2026-09-11,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19531954:0001422:pdf,200,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19531954:0001422:pdf
2026-09-11,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19541955:0000304:pdf,200,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19541955:0000304:pdf
2026-09-11,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19541955:0000341:pdf,200,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19541955:0000341:pdf
2026-09-11,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19541955:0000372:pdf,200,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19541955:0000372:pdf
2026-09-11,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19541955:0001387:pdf,200,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19541955:0001387:pdf
2026-09-11,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19551956:0000278:pdf,200,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19551956:0000278:pdf
2026-09-11,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19551956:0002068:pdf,200,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19551956:0002068:pdf
2026-09-11,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19551956:0002069:pdf,200,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19551956:0002069:pdf
2026-09-11,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19551956:0002070:pdf,200,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19551956:0002070:pdf
2026-09-11,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19571958:0000241:pdf,200,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19571958:0000241:pdf
2026-09-11,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19571958:0000273:pdf,200,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19571958:0000273:pdf
2026-09-11,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19571958:0002367:pdf,200,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19571958:0002367:pdf
2026-09-11,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19571958:0002381:pdf,200,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19571958:0002381:pdf
2026-09-11,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19581959:0000124:pdf,200,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19581959:0000124:pdf
2026-09-11,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19581959:0000724:pdf,200,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19581959:0000724:pdf
2026-09-11,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19591960:0000194:pdf,200,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19591960:0000194:pdf
2026-09-11,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19591960:0000218:pdf,200,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19591960:0000218:pdf
2026-09-11,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19591960:0000229:pdf,200,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19591960:0000229:pdf
2026-09-11,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19591960:0000249:pdf,200,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19591960:0000249:pdf
2026-09-11,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19591960:0002136:pdf,200,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19591960:0002136:pdf
2026-09-11,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19601961:0001099:pdf,200,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19601961:0001099:pdf
2026-09-11,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19611962:0001196:pdf,200,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19611962:0001196:pdf
2026-09-11,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19611962:0001200:pdf,200,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19611962:0001200:pdf
2026-09-11,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19611962:0001214:pdf,200,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19611962:0001214:pdf
2026-09-11,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19621963:0000184:pdf,200,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19621963:0000184:pdf
2026-09-11,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19621963:0002154:pdf,200,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19621963:0002154:pdf
2026-09-11,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19621963:0002155:pdf,200,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19621963:0002155:pdf
2026-09-11,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19631964:0000681:pdf,200,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19631964:0000681:pdf
2026-09-11,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19631964:0000701:pdf,200,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19631964:0000701:pdf
2026-09-11,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19641965:0000777:pdf,200,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19641965:0000777:pdf
2026-09-11,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19641965:0000782:pdf,200,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19641965:0000782:pdf
2026-09-11,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19651966:0000795:pdf,200,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19651966:0000795:pdf
2026-09-11,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19651966:0000807:pdf,200,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19651966:0000807:pdf
2026-09-11,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19651966:0000821:pdf,200,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19651966:0000821:pdf
2026-09-11,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19651966:0000832:pdf,200,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19651966:0000832:pdf
2026-09-11,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19651966:0000868:pdf,200,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19651966:0000868:pdf
2026-09-11,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19661967:0000344:pdf,200,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19661967:0000344:pdf
2026-09-11,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19661967:0000349:pdf,200,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19661967:0000349:pdf
2026-09-11,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19671968:0000620:pdf,200,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19671968:0000620:pdf
2026-09-11,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19671968:0000623:pdf,200,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19671968:0000623:pdf
2026-09-11,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19671968:0000638:pdf,200,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19671968:0000638:pdf
2026-09-11,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19671968:0000641:pdf,200,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19671968:0000641:pdf
2026-09-11,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19671968:0000650:pdf,200,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19671968:0000650:pdf
2026-09-11,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19671968:0000674:pdf,200,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19671968:0000674:pdf
2026-09-11,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:1967:0000230:pdf,200,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:1967:0000230:pdf
2026-09-11,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:1967:0000235:pdf,200,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:1967:0000235:pdf
2026-09-11,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:1967:0000243:pdf,200,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:1967:0000243:pdf
2026-09-11,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19681969:0000711:pdf,200,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19681969:0000711:pdf
2026-09-11,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19681969:0000742:pdf,200,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19681969:0000742:pdf
2026-09-11,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19681969:0000813:pdf,200,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19681969:0000813:pdf
2026-09-11,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19691970:0000586:pdf,200,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19691970:0000586:pdf
2026-09-11,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19691970:0000592:pdf,200,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19691970:0000592:pdf
2026-09-11,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19691970:0000626:pdf,200,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19691970:0000626:pdf
2026-09-11,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19691970:0000674:pdf,200,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19691970:0000674:pdf
2026-09-11,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19701971:0000604:pdf,200,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19701971:0000604:pdf
2026-09-11,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19701971:0000625:pdf,200,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19701971:0000625:pdf
2026-09-11,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19701971:0000626:pdf,200,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19701971:0000626:pdf
2026-09-11,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19701971:0000655:pdf,200,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19701971:0000655:pdf
2026-09-11,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19711972:0000734:pdf,200,https://resolver.kb.nl/resolve?urn=sgd:mpeg21:19711972:0000734:pdf
