"speech_id","speaker_bio_name","speaker_bio_url","speaker_bio_source","speaker_bio_status","speaker_bio_sex","speaker_bio_birth","speaker_bio_death","speaker_bio_parties","speaker_bio_parliament_start","speaker_bio_parliament_end","speaker_bio_gov_positions","speaker_bio_gov_period"
"nl.proc.sgd.d.197519760000706.1.18.1","Michel van Hulten","https://en.wikipedia.org/wiki/Michel_van_Hulten","legislatoR_precomputed","matched","male",1930-03-09,NA,"ppr",NA,NA,"",""
"nl.proc.sgd.d.197519760000674.11.7.1","Gerard ter Woorst","https://en.wikipedia.org/wiki/NA","legislatoR_precomputed","matched","",NA,NA,"kvp",NA,NA,"",""
"nl.proc.sgd.d.197519760000674.7.15.5","","","","ambiguous","",NA,NA,"",NA,NA,"",""
"nl.proc.sgd.d.197519760000674.7.2.1","Rie de Boois","https://en.wikipedia.org/wiki/Rie_de_Boois","legislatoR_precomputed","matched","female",1936-06-04,2010-11-16,"pvda",NA,NA,"",""
"nl.proc.sgd.d.197519760000674.7.3.1","Els Veder-Smit","https://en.wikipedia.org/wiki/Els_Veder-Smit","legislatoR_precomputed","matched","female",1921-08-29,2020-08-26,"vvd",NA,NA,"",""
"nl.proc.sgd.d.197519760000674.7.3.3","Fia van Veenendaal-van Meggelen","https://en.wikipedia.org/wiki/Fia_van_Veenendaal-van_Meggelen","legislatoR_precomputed","matched","female",1918-04-07,2005-09-21,"ds 70",NA,NA,"",""
"nl.proc.sgd.d.197519760000674.7.4.1","Gerard van Leijenhorst","https://en.wikipedia.org/wiki/Gerard_van_Leijenhorst","legislatoR_precomputed","matched","male",1928-06-11,2001-12-28,"chu | cda",NA,NA,"",""
"nl.proc.sgd.d.197519760000674.7.5.1","Hette Abma","https://en.wikipedia.org/wiki/Hette_Abma","legislatoR_precomputed","matched","male",1917-01-23,1992-01-02,"sgp",NA,NA,"",""
"nl.proc.sgd.d.197519760000674.7.6.1","Pam Cornelissen","https://en.wikipedia.org/wiki/Pam_Cornelissen","legislatoR_precomputed","matched","male",1934-01-13,2020-01-15,"kvp | cda",NA,NA,"",""
"nl.proc.sgd.d.197519760000674.7.7.3","","","","no_match","",NA,NA,"",NA,NA,"",""
"nl.proc.sgd.d.197519760000674.7.8.1","Marijn de Koning","https://en.wikipedia.org/wiki/Marijn_de_Koning","legislatoR_precomputed","matched","female",1943-03-25,2021-11-30,"d66",NA,NA,"",""
"nl.proc.sgd.d.197519760000674.7.9.9","","","","ambiguous","",NA,NA,"",NA,NA,"",""
"nl.proc.sgd.d.197519760000683.7.10.2","","","","ambiguous","",NA,NA,"",NA,NA,"",""
"nl.proc.sgd.d.197619770000542.7.2.4","Piet Dankert","https://en.wikipedia.org/wiki/Piet_Dankert","legislatoR_precomputed","matched","male",1934-01-08,2003-06-21,"pvda",NA,NA,"",""
"nl.proc.sgd.d.197619770000555.15.17.1","Bart Verbrugh","https://en.wikipedia.org/wiki/Bart_Verbrugh","legislatoR_precomputed","matched","male",1916-07-19,2003-02-05,"gpv",NA,NA,"",""
"nl.proc.sgd.d.197619770000579.14.4.1","Jan Beekmans","https://en.wikipedia.org/wiki/Jan_Beekmans","legislatoR_precomputed","matched","male",1927-05-07,2008-01-25,"d 66",NA,NA,"",""
"nl.proc.sgd.d.197619770000611.1.21.1","Joop Wolff","https://en.wikipedia.org/wiki/Joop_Wolff","legislatoR_precomputed","matched","male",1927-03-14,2007-01-07,"cpn",NA,NA,"",""
"nl.proc.sgd.d.197619770000614.1.8.1","","","","ambiguous","",NA,NA,"",NA,NA,"",""
"nl.proc.sgd.d.197619770000597.4.6.1","Henk Waltmans","https://en.wikipedia.org/wiki/Henk_Waltmans","legislatoR_precomputed","matched","male",1930-03-28,2013-05-04,"ppr",NA,NA,"",""
"nl.proc.sgd.d.19770000078.2.5.1","Hette Abma","https://en.wikipedia.org/wiki/Hette_Abma","legislatoR_precomputed","matched","male",1917-01-23,1992-01-02,"sgp",NA,NA,"",""
"nl.proc.sgd.d.19770000078.4.2.7","","","","ambiguous","",NA,NA,"",NA,NA,"",""
"nl.proc.sgd.d.197719780000538.2.7.1","Nora Salomons","https://en.wikipedia.org/wiki/Nora_Salomons","legislatoR_precomputed","matched","female",1945-08-05,2010-01-16,"pvda",NA,NA,"",""
"nl.proc.sgd.d.197719780000494.8.3.7","Bart Verbrugh","https://en.wikipedia.org/wiki/Bart_Verbrugh","legislatoR_precomputed","matched","male",1916-07-19,2003-02-05,"gpv",NA,NA,"",""
"nl.proc.sgd.d.197819790000676.4.6.13","Arie van der Hek","https://en.wikipedia.org/wiki/Arie_van_der_Hek","legislatoR_precomputed","matched","male",1938-09-12,NA,"pvda",NA,NA,"",""
"nl.proc.sgd.d.197919800000657.5.3.1","Piet van der Sanden","https://en.wikipedia.org/wiki/Piet_van_der_Sanden","legislatoR_precomputed","matched","male",1924-11-11,2015-01-18,"kvp | cda",NA,NA,"",""
"nl.proc.sgd.d.197919800000657.5.4.1","Huib Eversdijk","https://en.wikipedia.org/wiki/Huib_Eversdijk","legislatoR_precomputed","matched","male",1933-12-21,2012-03-15,"cda",NA,NA,"",""
"nl.proc.sgd.d.197919800000761.1.4.1","Bart Verbrugh","https://en.wikipedia.org/wiki/Bart_Verbrugh","legislatoR_precomputed","matched","male",1916-07-19,2003-02-05,"gpv",NA,NA,"",""
"nl.proc.sgd.d.197919800000697.5.8.1","","","","ambiguous","",NA,NA,"",NA,NA,"",""
"nl.proc.sgd.d.197919800000767.1.3.2","Marten Beinema","https://en.wikipedia.org/wiki/Marten_Beinema","legislatoR_precomputed","matched","male",1932-11-26,2008-08-20,"cda",NA,NA,"",""
"nl.proc.sgd.d.197919800000767.1.3.3","Reinier Braams","https://en.wikipedia.org/wiki/Reinier_Braams","legislatoR_precomputed","matched","male",1923-08-29,2001-01-02,"vvd",NA,NA,"",""
"nl.proc.sgd.d.197919800000719.13.4.1","","","","no_match","",NA,NA,"",NA,NA,"",""
"nl.proc.sgd.d.197919800000719.13.5.1","Henk Waltmans","https://en.wikipedia.org/wiki/Henk_Waltmans","legislatoR_precomputed","matched","male",1930-03-28,2013-05-04,"ppr",NA,NA,"",""
"nl.proc.sgd.d.197919800000719.13.8.1","Bart Verbrugh","https://en.wikipedia.org/wiki/Bart_Verbrugh","legislatoR_precomputed","matched","male",1916-07-19,2003-02-05,"gpv",NA,NA,"",""
"nl.proc.sgd.d.197919800000789.1.7.33","","","","no_match","",NA,NA,"",NA,NA,"",""
"nl.proc.sgd.d.198019810000736.2.7.1","Ben Hennekam","https://en.wikipedia.org/wiki/Ben_Hennekam","legislatoR_precomputed","matched","male",1941-10-31,NA,"cda",NA,NA,"",""
"nl.proc.sgd.d.198019810000785.11.2.1","Frits Niessen","https://en.wikipedia.org/wiki/Frits_Niessen","legislatoR_precomputed","matched","male",1936-09-16,2020-10-23,"pvda",NA,NA,"",""
"nl.proc.sgd.d.198019810000785.11.3.1","Bart Verbrugh","https://en.wikipedia.org/wiki/Bart_Verbrugh","legislatoR_precomputed","matched","male",1916-07-19,2003-02-05,"gpv",NA,NA,"",""
"nl.proc.sgd.d.198119820000953.2.8.1","Gert Schutte","https://en.wikipedia.org/wiki/Gert_Schutte","legislatoR_precomputed","matched","male",1939-05-24,2022-01-25,"gpv",NA,NA,"",""
"nl.proc.sgd.d.198119820000897.9.6.13","Dick Tommel","https://en.wikipedia.org/wiki/Dick_Tommel","legislatoR_precomputed","matched","male",1942-04-18,NA,"d66",NA,NA,"",""
"nl.proc.sgd.d.198119820000918.6.4.5","","","","ambiguous","",NA,NA,"",NA,NA,"",""
"nl.proc.sgd.d.198119820000939.3.9.1","Henk van Rossum","https://en.wikipedia.org/wiki/Henk_van_Rossum","legislatoR_precomputed","matched","male",1919-12-14,2017-06-17,"sgp",NA,NA,"",""
"nl.proc.sgd.d.198219830000730.3.3.1","Gert Schutte","https://en.wikipedia.org/wiki/Gert_Schutte","legislatoR_precomputed","matched","male",1939-05-24,2022-01-25,"gpv",NA,NA,"",""
"nl.proc.sgd.d.198219830000730.3.5.1","Bas van der Vlies","https://en.wikipedia.org/wiki/Bas_van_der_Vlies","legislatoR_precomputed","matched","male",1942-06-29,2021-11-07,"sgp",NA,NA,"",""
"nl.proc.sgd.d.198219830000733.9.5.18","Meindert Leerling","https://en.wikipedia.org/wiki/Meindert_Leerling","legislatoR_precomputed","matched","male",1936-01-11,2021-05-09,"rpf",NA,NA,"",""
"nl.proc.sgd.d.198219830000733.9.5.19","Wilbert Willems","https://en.wikipedia.org/wiki/Wilbert_Willems","legislatoR_precomputed","matched","male",1946-11-02,NA,"psp | groenlinks",NA,NA,"",""
"nl.proc.sgd.d.198219830000812.2.12.1","Aad Wagenaar","https://en.wikipedia.org/wiki/Aad_Wagenaar_%28politicus%29","legislatoR_precomputed","matched","male",1940-12-04,NA,"rpf",NA,NA,"",""
"nl.proc.sgd.d.198219830000817.2.13.66","","","","ambiguous","",NA,NA,"",NA,NA,"",""
"nl.proc.sgd.d.198219830000746.4.12.57","Gijs van Aardenne","https://en.wikipedia.org/wiki/Gijs_van_Aardenne","legislatoR_precomputed","matched","male",1930-03-18,1995-08-10,"vvd",NA,NA,"",""
"nl.proc.sgd.d.198219830000746.4.14.1","Maarten Engwirda","https://en.wikipedia.org/wiki/Maarten_Engwirda","legislatoR_precomputed","matched","male",1943-06-02,NA,"d 66 | d66",NA,NA,"",""
"nl.proc.sgd.d.198219830000746.4.15.1","Arie van der Hek","https://en.wikipedia.org/wiki/Arie_van_der_Hek","legislatoR_precomputed","matched","male",1938-09-12,NA,"pvda",NA,NA,"",""
"nl.proc.sgd.d.198219830000746.4.18.7","Arie van der Hek","https://en.wikipedia.org/wiki/Arie_van_der_Hek","legislatoR_precomputed","matched","male",1938-09-12,NA,"pvda",NA,NA,"",""
"nl.proc.sgd.d.198219830000822.2.14.1","Martin Konings","https://en.wikipedia.org/wiki/Martin_Konings","legislatoR_precomputed","matched","male",1929-03-15,2020-07-28,"pvda",NA,NA,"",""
"nl.proc.sgd.d.198219830000752.3.7.3","Hans Gualthérie van Weezel","https://en.wikipedia.org/wiki/Hans_Gualth%C3%A9rie_van_Weezel","legislatoR_precomputed","matched","male",1941-07-26,NA,"cda",NA,NA,"",""
"nl.proc.sgd.d.198219830000771.3.3.2","Marten Beinema","https://en.wikipedia.org/wiki/Marten_Beinema","legislatoR_precomputed","matched","male",1932-11-26,2008-08-20,"cda",NA,NA,"",""
"nl.proc.sgd.d.198319840000888.2.11.18","Gerrit Brokx","https://en.wikipedia.org/wiki/Gerrit_Brokx","legislatoR_precomputed","matched","male",1933-06-22,2002-01-11,"cda",NA,NA,"",""
"nl.proc.sgd.d.198319840000028.6.15.1","","","","no_match","",NA,NA,"",NA,NA,"",""
"nl.proc.sgd.d.198319840000836.4.3.1","Henk van Rossum","https://en.wikipedia.org/wiki/Henk_van_Rossum","legislatoR_precomputed","matched","male",1919-12-14,2017-06-17,"sgp",NA,NA,"",""
"nl.proc.sgd.d.198319840000842.7.9.1","Henk van Rossum","https://en.wikipedia.org/wiki/Henk_van_Rossum","legislatoR_precomputed","matched","male",1919-12-14,2017-06-17,"sgp",NA,NA,"",""
"nl.proc.sgd.d.198419850001034.2.25.1","Evelien Eshuis","https://en.wikipedia.org/wiki/Evelien_Eshuis","legislatoR_precomputed","matched","female",1942-11-25,NA,"cpn",NA,NA,"",""
"nl.proc.sgd.d.198419850000960.4.15.3","Evelien Eshuis","https://en.wikipedia.org/wiki/Evelien_Eshuis","legislatoR_precomputed","matched","female",1942-11-25,NA,"cpn",NA,NA,"",""
"nl.proc.sgd.d.198419850000960.4.16.1","Hans Janmaat","https://en.wikipedia.org/wiki/Hans_Janmaat","legislatoR_precomputed","matched","male",1934-11-03,2002-06-09,"centrumpartij | centrumdemocraten | centrum democraten",NA,NA,"",""
"nl.proc.sgd.d.198419850000962.12.11.1","Gert Schutte","https://en.wikipedia.org/wiki/Gert_Schutte","legislatoR_precomputed","matched","male",1939-05-24,2022-01-25,"gpv",NA,NA,"",""
"nl.proc.sgd.d.198419850001005.3.12.1","Wim van Eekelen","https://en.wikipedia.org/wiki/Wim_van_Eekelen","legislatoR_precomputed","matched","male",1931-02-05,NA,"vvd",NA,NA,"",""
"nl.proc.sgd.d.198419850001005.3.18.1","Gert Schutte","https://en.wikipedia.org/wiki/Gert_Schutte","legislatoR_precomputed","matched","male",1939-05-24,2022-01-25,"gpv",NA,NA,"",""
"nl.proc.sgd.d.198419850001005.3.6.1","Gert Schutte","https://en.wikipedia.org/wiki/Gert_Schutte","legislatoR_precomputed","matched","male",1939-05-24,2022-01-25,"gpv",NA,NA,"",""
"nl.proc.sgd.d.198519860000865.2.2.1","Frits Niessen","https://en.wikipedia.org/wiki/Frits_Niessen","legislatoR_precomputed","matched","male",1936-09-16,2020-10-23,"pvda",NA,NA,"",""
"nl.proc.sgd.d.198519860000775.8.8.1","Joost van Iersel","https://en.wikipedia.org/wiki/Joost_van_Iersel","legislatoR_precomputed","matched","male",1940-07-04,NA,"cda",NA,NA,"",""
"nl.proc.sgd.d.198519860000868.2.10.1","Gijs van Aardenne","https://en.wikipedia.org/wiki/Gijs_van_Aardenne","legislatoR_precomputed","matched","male",1930-03-18,1995-08-10,"vvd",NA,NA,"",""
"nl.proc.sgd.d.198519860000868.2.17.1","Peter Lankhorst","https://en.wikipedia.org/wiki/Peter_Lankhorst","legislatoR_precomputed","matched","male",1947-01-01,NA,"ppr | groenlinks",NA,NA,"",""
"nl.proc.sgd.d.198519860000868.2.35.20","Gijs van Aardenne","https://en.wikipedia.org/wiki/Gijs_van_Aardenne","legislatoR_precomputed","matched","male",1930-03-18,1995-08-10,"vvd",NA,NA,"",""
"nl.proc.sgd.d.198519860000875.2.8.7","Gijs van Aardenne","https://en.wikipedia.org/wiki/Gijs_van_Aardenne","legislatoR_precomputed","matched","male",1930-03-18,1995-08-10,"vvd",NA,NA,"",""
"nl.proc.sgd.d.198519860000888.2.7.1","Elco Brinkman","https://en.wikipedia.org/wiki/Elco_Brinkman","legislatoR_precomputed","matched","male",1948-02-05,NA,"cda",NA,NA,"",""
"nl.proc.sgd.d.198519860000897.2.5.7","Elco Brinkman","https://en.wikipedia.org/wiki/Elco_Brinkman","legislatoR_precomputed","matched","male",1948-02-05,NA,"cda",NA,NA,"",""
"nl.proc.sgd.d.198519860000852.2.5.1","Bas van der Vlies","https://en.wikipedia.org/wiki/Bas_van_der_Vlies","legislatoR_precomputed","matched","male",1942-06-29,2021-11-07,"sgp",NA,NA,"",""
"nl.proc.sgd.d.198619870000928.20.5.1","Meindert Leerling","https://en.wikipedia.org/wiki/Meindert_Leerling","legislatoR_precomputed","matched","male",1936-01-11,2021-05-09,"rpf",NA,NA,"",""
"nl.proc.sgd.d.198619870000939.6.2.1","","","","no_match","",NA,NA,"",NA,NA,"",""
"nl.proc.sgd.d.198619870000939.6.9.1","Sari van Heemskerck Pillis-Duvekot","https://en.wikipedia.org/wiki/Sari_van_Heemskerck_Pillis-Duvekot","legislatoR_precomputed","matched","male",1940-05-02,NA,"vvd",NA,NA,"",""
"nl.proc.sgd.d.198719880000815.4.2.1","Dick Dees","https://en.wikipedia.org/wiki/Dick_Dees","legislatoR_precomputed","matched","male",1944-12-13,NA,"vvd",NA,NA,"",""
"nl.proc.sgd.d.198719880000815.4.5.1","Bas van der Vlies","https://en.wikipedia.org/wiki/Bas_van_der_Vlies","legislatoR_precomputed","matched","male",1942-06-29,2021-11-07,"sgp",NA,NA,"",""
"nl.proc.sgd.d.198719880000826.2.18.7","Hans van Mierlo","https://en.wikipedia.org/wiki/Hans_van_Mierlo_%28D66%29","legislatoR_precomputed","matched","male",1931-08-18,2010-03-11,"d 66 | d66",NA,NA,"",""
"nl.proc.sgd.d.198719880000830.4.3.1","Aad Nuis","https://en.wikipedia.org/wiki/Aad_Nuis","legislatoR_precomputed","matched","male",1933-07-18,2007-11-08,"d66",NA,NA,"",""
"nl.proc.sgd.d.198719880000831.3.2.1","Frits Niessen","https://en.wikipedia.org/wiki/Frits_Niessen","legislatoR_precomputed","matched","male",1936-09-16,2020-10-23,"pvda",NA,NA,"",""
"nl.proc.sgd.d.198719880000865.2.14.1","Aad Nuis","https://en.wikipedia.org/wiki/Aad_Nuis","legislatoR_precomputed","matched","male",1933-07-18,2007-11-08,"d66",NA,NA,"",""
"nl.proc.sgd.d.198819890000870.5.9.47","","","","ambiguous","",NA,NA,"",NA,NA,"",""
"nl.proc.sgd.d.198819890000881.2.3.11","Henk Koning","https://en.wikipedia.org/wiki/Henk_Koning_%28politicus%29","legislatoR_precomputed","matched","male",1933-06-07,2016-12-31,"vvd",NA,NA,"",""
"nl.proc.sgd.d.198819890000976.2.4.1","Thijs van Vlijmen","https://en.wikipedia.org/wiki/Thijs_van_Vlijmen","legislatoR_precomputed","matched","male",1930-09-07,NA,"cda",NA,NA,"",""
"nl.proc.sgd.d.198819890000904.5.8.9","Frits Korthals Altes","https://en.wikipedia.org/wiki/Frits_Korthals_Altes","legislatoR_precomputed","matched","male",1931-05-15,NA,"vvd",NA,NA,"",""
"nl.proc.sgd.d.198919900000818.2.2.1","Henk Koning","https://en.wikipedia.org/wiki/Henk_Koning_%28politicus%29","legislatoR_precomputed","matched","male",1933-06-07,2016-12-31,"vvd",NA,NA,"",""
"nl.proc.sgd.d.198919900000901.2.10.1","Ien Dales","https://en.wikipedia.org/wiki/Ien_Dales","legislatoR_precomputed","matched","female",1931-10-18,1994-01-10,"pvda",NA,NA,"",""
"nl.proc.sgd.d.198919900000905.2.2.317","Jan te Veldhuis","https://en.wikipedia.org/wiki/Jan_te_Veldhuis","legislatoR_precomputed","matched","male",1947-03-14,NA,"vvd",NA,NA,"",""
"nl.proc.sgd.d.199019910000885.2.3.1","","","","no_match","",NA,NA,"",NA,NA,"",""
"nl.proc.sgd.d.199019910000793.6.6.1","","","","no_match","",NA,NA,"",NA,NA,"",""
"nl.proc.sgd.d.199019910000892.2.6.1","","","","no_match","",NA,NA,"",NA,NA,"",""
"nl.proc.sgd.d.199019910000816.3.5.1","Gert Schutte","https://en.wikipedia.org/wiki/Gert_Schutte","legislatoR_precomputed","matched","male",1939-05-24,2022-01-25,"gpv",NA,NA,"",""
