voc
v_o_c
vereenigde_oost-indische_compagnie
vereenigde_oostindische_compagnie
verenigde_oost-indische_compagnie
verenigde_oostindische_compagnie

wic
w_i_c
west-indische_compagnie
westindische_compagnie

michiel_de_ruyter
michiel_de_ruijter
de_ruyter
de_ruijter

handelsgeest
koopmansgeest
koopmans_geest
ondernemersgeest
handeldrijvende_natie
handeldrijvend
maritieme_natie
handelsvloot

koloniaal_rijk
overzeese_gebieden
overzeese_rijksdelen
koloniaal_bestuur
koloniaal_verleden
koloniale_geschiedenis
koloniale_tijd
koloniale_periode
koloniale_era
kolonialisme
